date,item,sales_count,temperature_avg,precipitation,humidity,weather_condition
2023-05-21,Hot Coffee,40,68,0.0,57,Sunny
2023-05-22,Cold Coffee,93,74,0.0,56,Sunny
2023-05-22,Hot Coffee,36,74,0.0,56,Sunny
2023-05-23,Cold Coffee,81,65,0.0,62,Partly Cloudy
2023-05-23,Hot Coffee,44,65,0.0,62,Partly Cloudy
2023-05-24,Cold Coffee,84,66,0.0,62,Partly Cloudy
2023-05-24,Hot Coffee,43,66,0.0,62,Partly Cloudy
2023-05-25,Cold Coffee,88,70,0.0,56,Sunny
2023-05-25,Hot Coffee,40,70,0.0,56,Sunny
2023-05-26,Cold Coffee,73,60,0.0,65,Partly Cloudy
2023-05-26,Hot Coffee,47,60,0.0,65,Partly Cloudy
2023-05-27,Cold Coffee,77,62,0.0,69,Partly Cloudy
2023-05-27,Hot Coffee,49,62,0.0,69,Partly Cloudy
2023-05-28,Cold Coffee,87,69,0.0,59,Sunny
2023-05-28,Hot Coffee,38,69,0.0,59,Sunny
2023-05-29,Cold Coffee,84,66,0.0,62,Partly Cloudy
2023-05-29,Hot Coffee,42,66,0.0,62,Partly Cloudy
2023-05-30,Cold Coffee,77,61,0.0,67,Partly Cloudy
2023-05-30,Hot Coffee,48,61,0.0,67,Partly Cloudy
2023-05-31,Cold Coffee,78,64,0.0,60,Partly Cloudy
2023-05-31,Hot Coffee,44,64,0.0,60,Partly Cloudy
2023-04-06,Cold Coffee,99,75,0.0,59,Sunny
2023-04-06,Hot Coffee,32,75,0.0,59,Sunny
2023-05-06,Cold Coffee,87,68,0.0,57,Sunny
2023-05-06,Hot Coffee,38,68,0.0,57,Sunny
2023-06-06,Cold Coffee,86,70,0.0,59,Sunny
2023-06-06,Hot Coffee,39,70,0.0,59,Sunny
2023-07-06,Cold Coffee,96,81,0.0,54,Sunny
2023-07-06,Hot Coffee,32,81,0.0,54,Sunny
2023-06-13,Cold Coffee,90,72,0.0,58,Sunny
2023-06-13,Hot Coffee,37,72,0.0,58,Sunny
2023-06-14,Cold Coffee,94,75,0.0,56,Sunny
2023-06-14,Hot Coffee,35,75,0.0,56,Sunny
2023-06-15,Cold Coffee,91,73,0.0,58,Sunny
2023-06-15,Hot Coffee,35,73,0.0,58,Sunny
2023-06-16,Cold Coffee,80,64,0.0,65,Partly Cloudy
2023-06-16,Hot Coffee,42,64,0.0,65,Partly Cloudy
2023-06-17,Cold Coffee,90,72,0.0,58,Sunny
2023-06-17,Hot Coffee,33,72,0.0,58,Sunny
2023-06-18,Cold Coffee,88,70,0.0,57,Sunny
2023-06-18,Hot Coffee,33,70,0.0,57,Sunny
2023-06-19,Cold Coffee,87,69,0.0,61,Partly Cloudy
2023-06-19,Hot Coffee,38,69,0.0,61,Partly Cloudy
2023-06-20,Cold Coffee,76,62,0.0,66,Partly Cloudy
2023-06-20,Hot Coffee,44,62,0.0,66,Partly Cloudy
2023-06-21,Cold Coffee,91,72,0.0,58,Sunny
2023-06-21,Hot Coffee,33,72,0.0,58,Sunny
2023-06-22,Cold Coffee,85,67,0.0,61,Partly Cloudy
2023-06-22,Hot Coffee,37,67,0.0,61,Partly Cloudy
2023-06-23,Cold Coffee,80,64,0.0,65,Partly Cloudy
2023-06-23,Hot Coffee,40,64,0.0,65,Partly Cloudy
2023-06-24,Cold Coffee,93,73,0.0,58,Sunny
2023-06-24,Hot Coffee,35,73,0.0,58,Sunny
2023-06-25,Cold Coffee,93,74,0.0,55,Sunny
2023-06-25,Hot Coffee,32,74,0.0,55,Sunny
2023-06-26,Cold Coffee,98,78,0.0,55,Sunny
2023-06-26,Hot Coffee,30,78,0.0,55,Sunny
2023-06-27,Cold Coffee,89,71,0.0,58,Sunny
2023-06-27,Hot Coffee,36,71,0.0,58,Sunny
2023-06-28,Cold Coffee,79,63,0.0,65,Partly Cloudy
2023-06-28,Hot Coffee,41,63,0.0,65,Partly Cloudy
2023-06-29,Cold Coffee,86,68,0.0,61,Partly Cloudy
2023-06-29,Hot Coffee,37,68,0.0,61,Partly Cloudy
2023-06-30,Cold Coffee,81,64,0.0,64,Partly Cloudy
2023-06-30,Hot Coffee,41,64,0.0,64,Partly Cloudy
2023-04-07,Cold Coffee,92,64,0.0,74,Cloudy
2023-04-07,Hot Coffee,32,64,0.0,74,Cloudy
2023-05-07,Cold Coffee,97,60,0.0,69,Partly Cloudy
2023-05-07,Hot Coffee,31,60,0.0,69,Partly Cloudy
2023-06-07,Cold Coffee,97,76,0.0,56,Sunny
2023-06-07,Hot Coffee,29,76,0.0,56,Sunny
2023-07-07,Cold Coffee,92,76,0.0,56,Sunny
2023-07-07,Hot Coffee,30,76,0.0,56,Sunny
2023-07-13,Cold Coffee,98,82,0.0,54,Sunny
2023-07-13,Hot Coffee,28,82,0.0,54,Sunny
2023-07-14,Cold Coffee,94,78,0.0,55,Sunny
2023-07-14,Hot Coffee,29,78,0.0,55,Sunny
2023-07-15,Cold Coffee,90,74,0.0,57,Sunny
2023-07-15,Hot Coffee,32,74,0.0,57,Sunny
2023-07-16,Cold Coffee,96,80,0.0,54,Sunny
2023-07-16,Hot Coffee,29,80,0.0,54,Sunny
2023-07-17,Cold Coffee,89,73,0.0,58,Sunny
2023-07-17,Hot Coffee,34,73,0.0,58,Sunny
2023-07-18,Cold Coffee,90,74,0.0,58,Sunny
2023-07-18,Hot Coffee,32,74,0.0,58,Sunny
2023-07-19,Cold Coffee,96,80,0.0,55,Sunny
2023-07-19,Hot Coffee,29,80,0.0,55,Sunny
2023-07-20,Cold Coffee,98,82,0.0,53,Sunny
2023-07-20,Hot Coffee,26,82,0.0,53,Sunny
2023-07-21,Cold Coffee,91,75,0.0,59,Partly Cloudy
2023-07-21,Hot Coffee,34,75,0.0,59,Partly Cloudy
2023-07-22,Cold Coffee,95,79,0.0,55,Sunny
2023-07-22,Hot Coffee,30,79,0.0,55,Sunny
2023-07-23,Cold Coffee,91,75,0.0,57,Sunny
2023-07-23,Hot Coffee,30,75,0.0,57,Sunny
2023-07-24,Cold Coffee,89,73,0.0,58,Sunny
2023-07-24,Hot Coffee,32,73,0.0,58,Sunny
2023-07-25,Cold Coffee,96,80,0.0,55,Sunny
2023-07-25,Hot Coffee,30,80,0.0,55,Sunny
2023-07-26,Cold Coffee,92,76,0.0,56,Sunny
2023-07-26,Hot Coffee,31,76,0.0,56,Sunny
2023-07-27,Cold Coffee,92,76,0.0,57,Sunny
2023-07-27,Hot Coffee,30,76,0.0,57,Sunny
2023-07-28,Cold Coffee,90,74,0.0,57,Sunny
2023-07-28,Hot Coffee,30,74,0.0,57,Sunny
2023-07-29,Cold Coffee,85,68,0.0,63,Partly Cloudy
2023-07-29,Hot Coffee,36,68,0.0,63,Partly Cloudy
2023-07-30,Cold Coffee,86,69,0.0,61,Partly Cloudy
2023-07-30,Hot Coffee,35,69,0.0,61,Partly Cloudy
