date,item,sales_count
23-07-23,Hot Coffee,30
24-07-23,Cold Coffee,89
24-07-23,Hot Coffee,32
25-07-23,Cold Coffee,96
25-07-23,Hot Coffee,30
26-07-23,Cold Coffee,92
26-07-23,Hot Coffee,31
27-07-23,Cold Coffee,92
27-07-23,Hot Coffee,30
28-07-23,Cold Coffee,90
28-07-23,Hot Coffee,30
29-07-23,Cold Coffee,85
29-07-23,Hot Coffee,36
30-07-23,Cold Coffee,86
30-07-23,Hot Coffee,35
